S/N,Time,Download_speed,Upload_speed,Status
1,2024-09-06 10:33:59.576645,18.95,5.82
2,2024-09-06 10:39:28.609829,14.95,1.83
3,2024-09-06 10:44:53.253393,14.88,5.84
4,2024-09-06 11:06:33.742542,8.20,4.88
5,2024-09-06 11:12:10.940163,10.81,5.51
6,2024-09-06 11:17:39.716705,14.34,5.38
7,2024-09-06 11:23:06.010046,28.21,4.59
8,2024-09-06 11:28:33.765006,21.45,5.76
1,2024-09-06 11:43:32.930690,24.95,4.72,great
2,2024-09-06 11:44:58.048969,25.99,5.86,great
3,2024-09-06 11:46:22.200759,24.75,6.14,great
4,2024-09-06 11:47:46.813810,18.73,5.11,okay
5,2024-09-06 11:49:11.145427,15.80,5.04,okay
6,2024-09-06 11:50:36.090535,20.29,5.98,great
7,2024-09-06 11:52:01.047804,20.53,5.00,great
8,2024-09-06 11:53:37.915620,23.03,5.54,great
9,2024-09-06 11:55:02.073520,27.36,5.70,great
10,2024-09-06 11:56:26.639715,26.37,5.63,great
11,2024-09-06 11:58:26.634312,28.18,4.63,great
12,2024-09-06 11:59:51.588181,28.22,5.16,great
1,2024-09-06 12:06:46.734054,26.36,4.75,great
2,2024-09-06 12:08:11.500666,24.56,5.58,great
3,2024-09-06 12:09:36.349372,27.02,5.95,great
4,2024-09-06 12:11:01.065363,19.08,5.69,okay
5,2024-09-06 12:12:25.489258,25.33,6.42,great
6,2024-09-06 12:13:49.561549,29.72,5.98,great
7,2024-09-06 12:15:14.002730,30.84,6.14,great
8,2024-09-06 12:16:48.457366,29.50,6.36,great
9,2024-09-06 12:18:13.334181,24.67,5.49,great
10,2024-09-06 12:19:38.258391,24.40,5.60,great
11,2024-09-06 12:21:03.726062,25.46,5.62,great
12,2024-09-06 12:22:28.371698,25.15,5.90,great
13,2024-09-06 12:24:13.983014,19.88,5.10,okay
14,2024-09-06 12:26:10.677663,21.90,5.60,great
15,2024-09-06 12:27:35.478546,20.91,5.12,great
16,2024-09-06 12:29:00.479519,13.99,5.46,okay
1,2024-09-06 12:40:01.599106,21.54,4.70,great
